站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
US,Refund,,Refund,marketplace withheld tax,平台代扣代缴税额-退货,43,订单,税费
US,Refund,,Refund,selling fees,佣金-退货,24,订单,平台佣金
US,Refund,,Refund,fba fees,运费-退货,26,订单,尾程派送费
US,Refund,,Refund,other transaction fees,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
US,Refund,,Refund,other,其他-退货,4,订单,售后费用
US,Refund_Retrocharge,,Refund_Retrocharge,product sales tax,退款追加费-商品税,42,多维度费用,税费
US,Refund_Retrocharge,,Refund_Retrocharge,shipping credits tax,退款追加费-运费税,42,多维度费用,税费
US,Refund_Retrocharge,,Refund_Retrocharge,marketplace withheld tax,退款追加费-平台代扣代缴税额,43,多维度费用,税费
US,Service Fee,Cost of Advertising,Service Fee/Cost of Advertising,total,广告费,36,单维度费用,广告费
US,Service Fee,FBA Inbound Placement Service Fee,Service Fee/FBA Inbound Placement Service Fee,total,FBA入库配置费,33,单维度费用,弃置费/退货手续费/移除费
US,Service Fee,Subscription,Service Fee/Subscription,total,店铺月租,33,单维度费用,弃置费/退货手续费/移除费
US,Service Fee,Inbound Defect Fee - Shipments delivered to the wrong location,Service Fee/Inbound Defect Fee - Shipments delivered to the wrong location,total,亚马逊罚款-送错仓库,33,单维度费用,索赔
US,Service Fee,Unplanned Service Charge - Deleted/Abandoned Shipments,Service Fee/Unplanned Service Charge - Deleted/Abandoned Shipments,total,亚马逊罚款-删除货件,33,单维度费用,索赔
US,Service Fee - Reversal,Inbound Defect Fee - Shipments delivered to the wrong location,Service Fee - Reversal/Inbound Defect Fee - Shipments delivered to the wrong location,total,亚马逊罚款-送错仓库,33,单维度费用,索赔
US,Transfer,,Transfer,total,提现金额,18,单维度费用,
US,Amazon Fees,Vine Enrollment Fee,Amazon Fees/Vine Enrollment Fee,total,好评活动注册费,33,单维度费用,推广费
US,Debt,,Debt,total,应付亚马逊其他款项,21,单维度费用,售后费用
US,Fee Adjustment,Fee Adjustment - Weight and Dimension Change,Fee Adjustment/Fee Adjustment - Weight and Dimension Change,total,费用调整-重量体积调整,26,单维度费用,弃置费/退货手续费/移除费
US,Adjustment,Buyer Recharge,Adjustment/Buyer Recharge,total,客户货款追回-美区,35,单维度费用,售后费用
US,Adjustment,Non-subscription Fee Adjustment,Adjustment/Non-subscription Fee Adjustment,total,非订阅类费用的调整,35,单维度费用,售后费用
CA,Order_Retrocharge,retrocharge for,Order_Retrocharge/retrocharge for,商品销售税,订单追加费-商品税,41,多维度费用,税费
CA,Order_Retrocharge,retrocharge for,Order_Retrocharge/retrocharge for,运费税,运费税,41,订单,税费
CA,Order_Retrocharge,retrocharge for,Order_Retrocharge/retrocharge for,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
CA,Refund_Retrocharge,retrocharge reversal for,Refund_Retrocharge/retrocharge reversal for,商品销售税,退款追加费-商品税,42,多维度费用,税费
CA,Refund_Retrocharge,retrocharge reversal for,Refund_Retrocharge/retrocharge reversal for,运费税,退款追加费-运费税,42,多维度费用,税费
CA,Refund_Retrocharge,retrocharge reversal for,Refund_Retrocharge/retrocharge reversal for,平台代扣代缴税额,退款追加费-平台代扣代缴税额,43,多维度费用,税费
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,商品采购成本,待发生此类型金额,订单,商品成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,商品头程运费,待发生此类型金额,订单,头程成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,商品头程税费,待发生此类型金额,订单,头程成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,商品采购成本,待发生此类型金额,订单,商品成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,商品头程运费,待发生此类型金额,订单,头程成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,商品头程税费,待发生此类型金额,订单,头程成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,退货服务费-头程税费,待发生此类型金额,订单,头程成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,退货服务费-头程运费,待发生此类型金额,订单,头程成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,退货头程税费,待发生此类型金额,订单,头程成本
US,匹配成本及头程用,匹配成本及头程用,匹配成本及头程用/匹配成本及头程用,,退货头程运费,待发生此类型金额,订单,头程成本
US,FBA Inventory Fee,Inventory Storage Overage Fee,FBA Inventory Fee/Inventory Storage Overage Fee,total,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
US,Adjustment,Commission Adjustment,Adjustment/Commission Adjustment,,佣金调整,待发生此类型金额,单维度费用,平台佣金
US,FBA Customer Return Fee,FBA Customer Return Per Unit Fee (Apparel & Shoes),FBA Customer Return Fee/FBA Customer Return Per Unit Fee (Apparel & Shoes),,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
US,Service Fee,Vine Enrollment Fee,Service Fee/Vine Enrollment Fee,,好评活动注册费,33,单维度费用,推广费
US,FBA Inventory Fee,FBA Amazon-Partnered Carrier Shipment Fee,FBA Inventory Fee/FBA Amazon-Partnered Carrier Shipment Fee,,FBA仓储运输费,待发生此类型金额,单维度费用,头程成本
US,Service Fee,Refund for Advertiser,Service Fee/Refund for Advertiser,,广告费退款,37,单维度费用,广告费
US,Service Fee,Inbound Defect Fee - Amazon barcode missing,Service Fee/Inbound Defect Fee - Amazon barcode missing,,入库手续费-缺少面单,待发生此类型金额,单维度费用,弃置费/退货手续费/移除费
FR,Ajustement,Autre,Ajustement/Autre,,其他调整,35,单维度费用,售后费用
IT,Modifica,Ricarico acquirente,Modifica/Ricarico acquirente,,向买家收取的费用调整,35,单维度费用,售后费用
UK,FBA Inventory Fee,FBA Return Fee,FBA Inventory Fee/FBA Return Fee,,FBA退回运费,29,单维度费用,售后费用
CA,Amazon fees,Deal participation fee,Amazon fees/Deal participation fee,,秒杀活动报名费,33,单维度费用,推广费
CA,Amazon fees,Deal performance-based fee,Amazon fees/Deal performance-based fee,,秒杀活动服务费,33,单维度费用,推广费
US,Adjustment,FixedClosingFee Adjustment,Adjustment/FixedClosingFee Adjustment,,固定费用调整,待发生此类型金额,单维度费用,平台佣金
US,Adjustment,GiftwrapCommission Adjustment,Adjustment/GiftwrapCommission Adjustment,,礼品包装佣金调整,待发生此类型金额,单维度费用,平台佣金
US,Adjustment,ShippingHB Adjustment,Adjustment/ShippingHB Adjustment,,运费退款调整,待发生此类型金额,单维度费用,尾程派送费
US,Adjustment,VariableClosingFee Adjustment,Adjustment/VariableClosingFee Adjustment,,可变成交费调整,待发生此类型金额,单维度费用,售后费用
US,Adjustment,FBA Inventory Reimbursement - Lost:Inbound,Adjustment/FBA Inventory Reimbursement - Lost:Inbound,,FBA库存赔偿-入库丢失,5,单维度费用,索赔
US,Adjustment,Disbursement Correction,Adjustment/Disbursement Correction,,付款纠正,待发生此类型金额,单维度费用,售后费用
US,FBA Inventory Fee,,FBA Inventory Fee/nan,,FBA入库费用,29,单维度费用,弃置费/退货手续费/移除费
US,Amazon Fees - Reversal,Coupon Performance Based Fee,Amazon Fees - Reversal/Coupon Performance Based Fee,,优惠券点击费退回,33,单维度费用,推广费
US,Shipping Services,ReturnPostageBilling,Shipping Services/ReturnPostageBilling,,卖家承担退回运费,30,单维度费用,售后费用
IE,FBA inventory fee,FBA storage fee,FBA inventory fee/FBA storage fee,,FBA仓储费,29,单维度费用,仓储费
IT,Tariffe e commissioni Amazon,Tariffa di iscrizione a Vine,Tariffe e commissioni Amazon/Tariffa di iscrizione a Vine,,好评活动注册费,33,单维度费用,推广费
SE,Justering,FBA återdebitering av lager - Kundretur,Justering/FBA återdebitering av lager - Kundretur,,FBA库存赔偿-费用调整,5,单维度费用,索赔
US,Shipping Services,Adjustment,Shipping Services/Adjustment,,运费调整,32,单维度费用,售后费用
DE,Versand durch Amazon Lagergebühr,Versand durch Amazon Gebühr für Rücksendung,Versand durch Amazon Lagergebühr/Versand durch Amazon Gebühr für Rücksendung,Gesamt,亚马逊额外退货处理费,29,单维度费用,售后费用
ES,Tarifas de inventario de Logística de Amazon,Tarifa por devolución de inventario,Tarifas de inventario de Logística de Amazon/Tarifa por devolución de inventario,total,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
IT,Costo di stoccaggio Logistica di Amazon,Tariffa di restituzione Logistica di Amazon,Costo di stoccaggio Logistica di Amazon/Tariffa di restituzione Logistica di Amazon,totale,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
UK,A-to-z Guarantee Claim,,A-to-z Guarantee Claim,,索赔退款,14,单维度费用,退款金额
UK,A-to-z Guarantee Claim,,A-to-z Guarantee Claim,,索赔退款,14,单维度费用,退款金额
UK,A-to-z Guarantee Claim,,A-to-z Guarantee Claim,,索赔退款,14,单维度费用,退款金额
UK,A-to-z Guarantee Claim,,A-to-z Guarantee Claim,,商品销售税,41,订单,税费
UK,A-to-z Guarantee Claim,,A-to-z Guarantee Claim,,平台代扣代缴税额,43,订单,税费
UK,Fee Adjustment,Fee Adjustment - Weight and Dimension Change,Fee Adjustment/Fee Adjustment - Weight and Dimension Change,,费用调整-重量体积调整,26,单维度费用,弃置费/退货手续费/移除费
DE,Verbindlichkeit,amzn1.cam.v1.sgid,Verbindlichkeit/amzn1.cam.v1.sgid,,预提费用,20,单维度费用,售后费用
NL,Aanpassing,Mislukte vergoeding,Aanpassing/Mislukte vergoeding,,补偿发放失败调整,19,单维度费用,索赔
