站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
DE,Anpassung,Versand durch Amazon Erstattung für Lagerbestand -  Gebührenkorrektur,Anpassung/Versand durch Amazon Erstattung für Lagerbestand -  Gebührenkorrektur,Gesamt,FBA库存赔偿-费用调整,5,单维度费用,索赔
DE,Bestellung,,Bestellung,Umsätze,商品销售收入,3,订单,订单金额
DE,Bestellung,,Bestellung,Produktumsatzsteuer,商品销售税,41,订单,税费
DE,Bestellung,,Bestellung,Gutschrift für Versandkosten,运费销售收入,8,订单,订单金额
DE,Bestellung,,Bestellung,Steuer auf Versandgutschrift,运费税,41,订单,税费
DE,Bestellung,,Bestellung,Gutschrift für Geschenkverpackung,包装收入,10,订单,订单金额
DE,Bestellung,,Bestellung,Steuer auf Geschenkverpackungsgutschriften,包装税,41,订单,税费
DE,Bestellung,,Bestellung,Rabatte aus Werbeaktionen,折扣金额,12,订单,订单金额
DE,Bestellung,,Bestellung,Steuer auf Aktionsrabatte,折扣税,41,订单,税费
DE,Bestellung,,Bestellung,Einbehaltene Steuer auf Marketplace,平台代扣代缴税额,43,订单,税费
DE,Bestellung,,Bestellung,Verkaufsgebühren,佣金,23,订单,平台佣金
DE,Bestellung,,Bestellung,Gebühren zu Versand durch Amazon,运费,25,订单,尾程派送费
DE,Bestellung,,Bestellung,Andere Transaktionsgebühren,其他交易费用,27,订单,弃置费/退货手续费/移除费
DE,Bestellung,,Bestellung,Andere,其他,25,订单,售后费用
DE,Bestellung_Wiedereinzug,,Bestellung_Wiedereinzug,Gesamt,订单追加费-商品税,41,多维度费用,税费
DE,Bestellung_Wiedereinzug,,Bestellung_Wiedereinzug,Gesamt,订单追加费-运费税,41,多维度费用,税费
DE,Bestellung_Wiedereinzug,,Bestellung_Wiedereinzug,Gesamt,订单追加费-平台代扣代缴税额,43,多维度费用,税费
DE,Erstattung,,Erstattung,Umsätze,商品销售收入-退货,4,订单,退款金额
DE,Erstattung,,Erstattung,Produktumsatzsteuer,商品销售税-退货,42,订单,税费
DE,Erstattung,,Erstattung,Gutschrift für Versandkosten,运费销售收入-退货,9,订单,退款金额
DE,Erstattung,,Erstattung,Steuer auf Versandgutschrift,运费税-退货,42,订单,税费
DE,Erstattung,,Erstattung,Gutschrift für Geschenkverpackung,包装收入-退货,11,订单,退款金额
DE,Erstattung,,Erstattung,Steuer auf Geschenkverpackungsgutschriften,包装税-退货,42,订单,税费
DE,Erstattung,,Erstattung,Rabatte aus Werbeaktionen,折扣金额-退货,13,订单,退款金额
DE,Erstattung,,Erstattung,Steuer auf Aktionsrabatte,折扣税-退货,42,订单,税费
DE,Erstattung,,Erstattung,Einbehaltene Steuer auf Marketplace,平台代扣代缴税额-退货,43,订单,税费
DE,Erstattung,,Erstattung,Verkaufsgebühren,佣金-退货,24,订单,平台佣金
DE,Erstattung,,Erstattung,Gebühren zu Versand durch Amazon,运费-退货,26,订单,尾程派送费
DE,Erstattung,,Erstattung,Andere Transaktionsgebühren,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
DE,Erstattung,,Erstattung,Andere,其他-退货,4,订单,售后费用
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Umsätze,商品销售收入-客户拒付,15,订单,订单金额
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Produktumsatzsteuer,商品销售税-客户拒付,42,订单,税费
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Gutschrift für Versandkosten,运费销售收入-客户拒付,15,订单,订单金额
