站点,二维匹配数据列-1,二维匹配数据列-2,中文意思,账单字段序列,维度,绩效表对应维度
FR,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
FR,提现金额,其他,提现金额,18,单维度费用,
IE,提现金额,其他,提现金额,18,单维度费用,
IT,广告费,其他交易费用,广告费,36,单维度费用,广告费
IT,FBA配送交易服务费,运费,FBA配送交易服务费,25,单维度费用,尾程派送费
IT,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
IT,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
IT,FBA长期仓储费,其他,FBA长期仓储费,29,单维度费用,仓储费
IT,FBA仓储超量费,其他,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
IT,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
IT,FBA库存赔偿-仓库遗失,其他,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
IT,FBA库存赔偿-仓库损毁,其他,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
IT,FBA库存赔偿-常规调整,其他,FBA库存赔偿-常规调整,35,单维度费用,售后费用
IT,订单追加费-商品税,商品销售税,订单追加费-商品税,41,多维度费用,税费
IT,订单追加费-商品税,运费税,订单追加费-运费税,41,多维度费用,税费
IT,订单追加费-商品税,平台代扣代缴税额,订单追加费-平台代扣代缴税额,43,多维度费用,税费
IT,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
IT,商品销售收入,商品销售税,商品销售税,41,订单,税费
IT,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
IT,商品销售收入,运费税,运费税,41,订单,税费
IT,商品销售收入,包装收入,包装收入,10,订单,订单金额
IT,商品销售收入,包装税,包装税,41,订单,税费
IT,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
IT,商品销售收入,折扣税,折扣税,41,订单,税费
IT,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
IT,商品销售收入,佣金,佣金,23,订单,平台佣金
IT,商品销售收入,运费,运费,25,订单,尾程派送费
IT,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
IT,商品销售收入,其他,其他,25,订单,售后费用
IT,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
IT,商品销售收入-退货,商品销售税,商品销售税-退货,42,订单,税费
IT,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
IT,商品销售收入-退货,运费税,运费税-退货,42,订单,税费
IT,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
IT,商品销售收入-退货,包装税,包装税-退货,42,订单,税费
IT,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
IT,商品销售收入-退货,折扣税,折扣税-退货,42,订单,税费
IT,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
IT,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
IT,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
IT,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
IT,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
IT,优惠券点击费,佣金,优惠券点击费,33,单维度费用,推广费
IT,优惠活动报名费,其他交易费用,优惠活动报名费,33,单维度费用,推广费
IT,促销活动服务费,佣金,促销活动服务费,33,单维度费用,推广费
IT,促销活动报名费,佣金,促销活动报名费,33,单维度费用,推广费
IT,提现金额,其他,提现金额,18,单维度费用,
JP,优惠券点击费,佣金,优惠券点击费,33,单维度费用,推广费
JP,优惠活动报名费,其他交易费用,优惠活动报名费,33,单维度费用,推广费
JP,秒杀活动服务费,佣金,秒杀活动服务费,33,单维度费用,推广费
JP,秒杀活动报名费,佣金,秒杀活动报名费,33,单维度费用,推广费
JP,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
JP,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
JP,FBA长期仓储费,其他,FBA长期仓储费,29,单维度费用,仓储费
