取值字段,中文意思
total,订单追加费-商品税
total,订单追加费-运费税
total,订单追加费-平台代扣代缴税额
total,店铺月租
total,优惠券使用费
total,FBA库存赔偿-客户服务费
total,FBA库存赔偿-出运丢失
total,秒杀活动服务费
total,秒杀活动报名费
total,FBA退回运费
total,FBA客户退货处理费
total,FBA入库配置费
total,亚马逊罚款-送错仓库
total,亚马逊罚款-删除货件
total,应付亚马逊其他款项
total,客户货款追回-美区
total,非订阅类费用的调整
totale,广告费
totale,FBA配送交易服务费
totale,FBA弃置费
totale,FBA仓储费
totale,FBA长期仓储费
totale,FBA仓储超量费
totale,FBA库存赔偿-客户退货
totale,FBA库存赔偿-仓库遗失
totale,FBA库存赔偿-仓库损毁
totale,FBA库存赔偿-常规调整
totale,优惠券点击费
totale,优惠活动报名费
totale,促销活动服务费
totale,促销活动报名费
totale,提现金额
totale,FBA客户退货处理费
totalt,提现金额
totalt,广告费
trattenuta IVA del marketplace,订单追加费-平台代扣代缴税额
trattenuta IVA del marketplace,平台代扣代缴税额
trattenuta IVA del marketplace,平台代扣代缴税额-退货
ventas de productos,商品销售收入
ventas de productos,商品销售收入-退货
ventes de produits,商品销售收入
ventes de produits,商品销售收入-退货
verkoop van producten,商品销售收入
verkoop van producten,商品销售收入-退货
verkoopkosten,佣金
verkoopkosten,佣金-退货
Övrigt,其他-退货
Övrigt,其他
övriga transaktionsavgifter,其他交易费用-退货
övriga transaktionsavgifter,其他交易费用
środki na pokrycie pakowania na prezent,包装收入
środki na pokrycie pakowania na prezent,包装收入-退货
その他,其他-退货-日本
その他,其他
ギフト包装クレジットの税金,包装税-退货
ギフト包装クレジットの税金,包装税
ギフト包装手数料,包装收入-退货
ギフト包装手数料,包装收入
トランザクションに関するその他の手数料,其他交易费用-退货
トランザクションに関するその他の手数料,其他交易费用
プロモーション割引の税金,折扣税-退货
プロモーション割引の税金,折扣税
プロモーション割引額,折扣金额-退货
プロモーション割引額,折扣金额
合計,优惠券点击费
合計,优惠活动报名费
合計,秒杀活动服务费
合計,秒杀活动报名费
合計,FBA弃置费
合計,FBA仓储费
合計,FBA长期仓储费
合計,FBA仓储费-取消
合計,FBA仓储费-调整
合計,FBA库存赔偿-客户退货
合計,FBA库存赔偿-仓库遗失
合計,FBA库存赔偿-出运丢失
合計,客户货款追回
合計,提现金额
合計,广告费
合計,店铺月租
合計,优惠活动服务费
商品の売上税,商品销售税-退货
商品の売上税,商品销售税
商品売上,商品销售收入-退货
商品売上,商品销售收入
商品销售税,订单追加费-商品税
商品销售税,退款追加费-商品税
平台代扣代缴税额,平台代扣代缴税额
平台代扣代缴税额,退款追加费-平台代扣代缴税额
手数料,佣金-退货
手数料,佣金
源泉徴収税を伴うマーケットプレイス,平台代扣代缴税额-退货
源泉徴収税を伴うマーケットプレイス,平台代扣代缴税额
运费税,运费税
运费税,退款追加费-运费税
配送料,运费销售收入-退货
配送料,运费销售收入
配送料の税金,运费税-退货
配送料の税金,运费税
