SELLERSKU,ASIN,FNSKU,站点,账号,首单时间,仓库SKU,产品ID,一级大类,二级类目,三级类目,最新采购价
DKPROSA20VA1-K5GS-YBAZ-EU,B0G4V2KVWN,X002GPB0BD,ES,amazon亚马逊欧洲_ES,2026/3/4,DKPROS0009,DKPROSA20VA1-K5GS-YBAZ,动力工具,砂光工具,圆砂,142.3
DKPRPSA071C1-K1BS-GYAZ-UK-S1,B0F6TNBLPV,X002AMIQOL,UK,amazon亚马逊欧洲_UK,2025/7/16,DKPRPS0002,DKPRPSA071C1-K1BS-GYAZ,动力工具,切割工具,往复锯,113.5
DKPRPSA071C1-K1GS-GYAZ-EU-S1,B0F6BL2PB3,X002AHUQ0D,IT,amazon亚马逊欧洲_IT,2025/9/13,DKPRPS0001,DKPRPSA071C1-K1GS-GYAZ,动力工具,切割工具,往复锯,111
DKPRPSA20VA1-K1BS-GYAZ-UK-S1,B0FG23RQBJ,X002CENFQ1,UK,amazon亚马逊欧洲_UK,2025/9/10,DKPRPS0004,DKPRPSA20VA1-K1BS-GYAZ,动力工具,切割工具,往复锯,174.6
DKPRPSA20VA1-K1GS-GYAZ-EU-S1,B0FG27M2Z9,X002CEGXSX,IT,amazon亚马逊欧洲_IT,2025/9/20,DKPRPS0003,DKPRPSA20VA1-K1GS-GYAZ,动力工具,切割工具,往复锯,173.8
DKPRPSA20VA1-K2BS-GYAZ-UK,B0FF98681L,X002CEMAUD,UK,amazon亚马逊欧洲_UK,2025/9/11,DKPRPS0006,DKPRPSA20VA1-K2BS-GYAZ,动力工具,切割工具,往复锯,218.4
DKPRPSA20VA1-K2GS-GYAZ-EU,B0FFSQBRN4,X002CCOP0X,IT,amazon亚马逊欧洲_IT,2025/9/19,DKPRPS0005,DKPRPSA20VA1-K2GS-GYAZ,动力工具,切割工具,往复锯,217.6
DKPS12,B0D7ZW45Q7,X004AR57L7,US,amazon杭州站_US,2026/1/11,DKPS12,DKPS12,手工具,花园类手工具,手工修枝剪,13.9
DKPSHG0001,B0FM6YTDDM,X004UO74OD,CA,amazon老站_CA_CA,2025/12/3,DKPSHG0001,DKPSHGX220C1-K1UL-YBAZ,动力工具,加热工具,热风枪,41
DKPSHG0002,B0FM71TBBF,X004UO771D,CA,amazon老站_CA_CA,2025/12/3,DKPSHG0002,DKPSHGX245C1-K1UL-YBAZ,动力工具,加热工具,热风枪,68
DKPSHGX220C1-K1UL-YBAZ,B0FM6YTDDM,X001C6AOF7,JP,日本新站_JP,2026/2/3,DKPSHG0001,DKPSHGX220C1-K1UL-YBAZ,动力工具,加热工具,热风枪,41
DKPSHGX245C1-K1UL-YBAZ,B0FM71TBBF,X001C67T37,JP,日本新站_JP,2026/1/30,DKPSHG0002,DKPSHGX245C1-K1UL-YBAZ,动力工具,加热工具,热风枪,68
DKPSRTA03VDC1-K1-OLGY-EU,B0DGSJ5ZQT,X0024M7YEF,DE,amazon亚马逊欧洲_DE,2025/6/1,DKPSRTA03VDC1-K1-OLGY,DKPSRTA03VDC1-K1-OLGY,动力工具,特殊工具,小电磨,54.5
DKPSRTA03VDC1-K1-OLGY-EU,B0DGSJ5ZQT,X0024M7YEF,BE,amazon亚马逊欧洲_BE,2025/6/1,DKPSRTA03VDC1-K1-OLGY,DKPSRTA03VDC1-K1-OLGY,动力工具,特殊工具,小电磨,54.5
DKPSRTA03VDC1-K1-OLGY-EU,B0DGSJ5ZQT,X0024M7YEF,FR,amazon亚马逊欧洲_FR,2025/6/1,DKPSRTA03VDC1-K1-OLGY,DKPSRTA03VDC1-K1-OLGY,动力工具,特殊工具,小电磨,54.5
DKPSRTA03VDC1-K1-OLGY-UK,B0DGSJ5ZQT,X0024M7UCV,UK,amazon亚马逊欧洲_UK,2025/6/1,DKPSRTA03VDC1-K1-OLGY,DKPSRTA03VDC1-K1-OLGY,动力工具,特殊工具,小电磨,54.5
DKPSRTA03VDC1-K1-OLPK-EU,B0DGSTBS9F,X0024M6HN9,ES,amazon亚马逊欧洲_ES,2025/6/1,DKPSRTA03VDC1-K1EU-OLPK,DKPSRTA03VDC1-K1EU-OLPK,动力工具,特殊工具,小电磨,55
DKPSRTA03VDC1-K1-OLPK-EU,B0DGSTBS9F,X0024M6HN9,DE,amazon亚马逊欧洲_DE,2025/6/1,DKPSRTA03VDC1-K1EU-OLPK,DKPSRTA03VDC1-K1EU-OLPK,动力工具,特殊工具,小电磨,55
DKPSRTA03VDC1-K1-OLPK-UK,B0DGSTBS9F,X0024M7TXL,UK,amazon亚马逊欧洲_UK,2025/6/1,DKPSRTA03VDC1-K1-OLPK,DKPSRTA03VDC1-K1-OLPK,动力工具,特殊工具,小电磨,54.5
DKPSRTX017C2-K1BS-GYAZ-UK,B0FH9QBJ2Y,X002CR6UU1,UK,amazon亚马逊欧洲_UK,2025/9/26,DKPSRT0002,DKPSRTX017C2-K1BS-GYAZ,动力工具,特殊工具,小电磨,92.5
DKPSRTX017C2-K1BS-PKAZ-UK,B0FH9GYMYZ,X002CR6015,UK,amazon亚马逊欧洲_UK,2025/9/29,DKPSRT0006,DKPSRTX017C2-K1BS-PKAZ,动力工具,特殊工具,小电磨,92.5
DKPSRTX017C2-K1BS-YBAZ-UK,B0FH9CGYXK,X002CR3MW5,UK,amazon亚马逊欧洲_UK,2025/9/26,DKPSRT0004,DKPSRTX017C2-K1BS-YBAZ,动力工具,特殊工具,小电磨,92.5
DKPSRTX017C2-K1GS-GYAZ-EU,B0FH9XDDD4,X002CR6NW1,DE,amazon亚马逊欧洲_DE,2025/10/29,DKPSRT0001,DKPSRTX017C2-K1GS-GYAZ,动力工具,特殊工具,小电磨,90.5
DKPSRTX017C2-K1GS-PKAZ-EU,B0FH9LJ81R,X002CR749H,IT,amazon亚马逊欧洲_IT,2025/10/29,DKPSRT0005,DKPSRTX017C2-K1GS-PKAZ,动力工具,特殊工具,小电磨,95.48
DKPSRTX017C2-K1GS-YBAZ-EU,B0FH8WHJYW,X002CR6X6H,IT,amazon亚马逊欧洲_IT,2025/10/28,DKPSRT0003,DKPSRTX017C2-K1GS-YBAZ,动力工具,特殊工具,小电磨,90.5
DKPSRTX017C2-K1UL-GYAZ,B0FH1MPWWC,X001BM7K0T,CA,amazon老站_CA_CA,2025/9/15,DKPSRT0007,DKPSRTX017C2-K1UL-GYAZ,动力工具,特殊工具,小电磨,95.48
DKPSRTX017C2-K1UL-PKAZ,B0FH1PXRJD,X001BLZ6Q5,CA,amazon老站_CA_CA,2025/9/15,DKPSRT0011,DKPSRTX017C2-K1UL-PKAZ,动力工具,特殊工具,小电磨,95.48
DKPSRTX017C2-K1UL-YBAZ,B0D2W2RP3Q,X001CDAO2X,CA,amazon老站_CA_CA,2025/9/11,DKPSRT0009,DKPSRTX017C2-K1UL-YBAZ,动力工具,特殊工具,小电磨,95.48
DKPSRTX4VA1-K1BS-YEAZ,B0G2VL3NR1,X002GHVSXV,UK,amazon亚马逊欧洲_UK,2026/2/11,DKPSRT0014,DKPSRTX4VA1-K1BS-YEAZ,动力工具,特殊工具,小电磨,54.5
DKPSRTX4VA1-K1GS-YEAZ,B0G2VNKZVK,X002GHZY7R,SE,amazon亚马逊欧洲-SE_SE,2026/3/17,DKPSRT0016,DKPSRTX4VA1-K1GS-YEAZ,动力工具,特殊工具,小电磨,54.5
DKPSRTX4VA1-K1UL-YEAZ,B0G2S63KM2,X001C5N91T,JP,日本新站_JP,2026/2/6,DKPSRT0015,DKPSRTX4VA1-K1UL-YEAZ,动力工具,特殊工具,小电磨,54
DKPSSDA028C1-K1BS-GYAZ-UK,B0GBW8Z1PB,X002H6G24B,UK,amazon亚马逊欧洲_UK,2026/3/31,DKPSSD0003,DKPSSDA028C1-K1BS-GYAZ,动力工具,砂光工具,平板砂,98.5
DKPSSDA028C1-K1UL-GYAZ,B0GH6Z5Q6S,X004ZFFV2T,CA,amazon丰平站_CA,2026/3/16,DKPSSD0002,DKPSSDA028C1-K1UL-GYAZ,动力工具,砂光工具,平板砂,101.28
DK-Q4QS-L97E,B09ZV2364K,X004XC4CXD,CA,amazon丰平站_CA,2026/2/25,DKCSP03BL-US,DKCSP03BL-US,机械设备,水泵,清水泵,140
DKRS20XL01,B0DRYKT739,X001BDRK1H,JP,日本新站_JP,2026/3/17,DKRS20XL01-S1-B1020-UL,DKRS20XL01-S1-B1020-UL,动力工具,切割工具,往复锯,133.1
DKRT170Y1P-S2-BS-UK-1,B0D2W2N2K5,X0025WTCWB,UK,amazon亚马逊欧洲_UK,2025/6/2,DKRT170Y1P-S2-BS,DKRT170Y1P-S2-BS,动力工具,特殊工具,小电磨,92.5
DKRT170Y1P-S2-EU,B0D2W2N2K5,X0023E0TQJ,ES,amazon亚马逊欧洲_ES,2025/6/1,DKRT170Y1P-S2,DKRT170Y1P-S2,动力工具,特殊工具,小电磨,91
DKRT170Y1P-S2-EU,B0D2W2N2K5,X0023E0TQJ,IT,amazon亚马逊欧洲_IT,2025/6/1,DKRT170Y1P-S2,DKRT170Y1P-S2,动力工具,特殊工具,小电磨,91
DKRT170Y1-S2-BS-UK-1,B0D2W2RP3Q,X0024GTXNV,UK,amazon亚马逊欧洲_UK,2025/6/1,DKRT170Y1-S2-BS,DKRT170Y1-S2-BS,动力工具,特殊工具,小电磨,92.5
DKRT170Y1-S2-EU,B0D2W2RP3Q,X0024GOK43,IT,amazon亚马逊欧洲_IT,2025/6/13,DKRT170Y1-S2,DKRT170Y1-S2,动力工具,特殊工具,小电磨,92
DKRT170Y1-S2-EU,B0D2W2RP3Q,X0024GOK43,DE,amazon亚马逊欧洲_DE,2025/6/13,DKRT170Y1-S2,DKRT170Y1-S2,动力工具,特殊工具,小电磨,92
DKRT170Y1-S2-US,B0D2W2RP3Q,X004XK7G7T,US,amazon贺敏_US,2025/12/16,DKPSRT0009,DKPSRTX017C2-K1UL-YBAZ,动力工具,特殊工具,小电磨,95.48
DKSE234,B0DBT1Z1BB,X004CB1QCZ,US,amazonGulin_US,2025/6/1,DKSE234,DKSE234,多品组套,手工具组套,常规手工具组合,379.6
DKSE48,B0B5ZD497C,X003B2U5F5,CA,amazon老站_CA_CA,2025/6/3,DKSE48,DKSE48,附件,紧固类附件,套筒及套筒组套,107
DKSG100K1-AMZG-BS,B0DLGXRYX3,X0026KOCN1,UK,amazon亚马逊欧洲_UK,2025/6/4,DKSG100K1-AMZG-US,DKSG100K1-AMZG-US,动力工具,喷雾工具,喷枪,120
DKSG70K1G-BS-UK,B0DKT48WKS,X0025X142L,UK,amazon亚马逊欧洲_UK,2025/6/1,DKSG70K1G-BS,DKSG70K1G-BS,动力工具,喷雾工具,喷枪,113
DKSG70K1G-EU,B0DKT48WKS,X00261WC41,ES,amazon亚马逊欧洲_ES,2025/6/1,DKSG70K1G,DKSG70K1G,动力工具,喷雾工具,喷枪,110
