原始列名,分组大类,中文列名
total,亚马逊罚款-删除货件,运费
total,应付亚马逊其他款项,其他
total,客户货款追回-美区,其他
total,非订阅类费用的调整,其他
total,FBA客户退货处理费,其他
totale,广告费,其他交易费用
totale,FBA配送交易服务费,运费
totale,FBA弃置费,其他
totale,FBA仓储费,其他
totale,FBA长期仓储费,其他
totale,FBA仓储超量费,其他
totale,FBA库存赔偿-客户退货,其他
totale,FBA库存赔偿-仓库遗失,其他
totale,FBA库存赔偿-仓库损毁,其他
totale,FBA库存赔偿-常规调整,其他
totale,优惠券点击费,佣金
totale,优惠活动报名费,其他交易费用
totale,促销活动服务费,佣金
totale,促销活动报名费,佣金
totale,提现金额,其他
totale,FBA客户退货处理费,其他
totalt,提现金额,其他
totalt,广告费,其他交易费用
trattenuta IVA del marketplace,订单追加费-商品税,平台代扣代缴税额
trattenuta IVA del marketplace,商品销售收入,平台代扣代缴税额
trattenuta IVA del marketplace,商品销售收入-退货,平台代扣代缴税额
ventas de productos,商品销售收入,商品销售收入
ventas de productos,商品销售收入-退货,商品销售收入
ventes de produits,商品销售收入,商品销售收入
ventes de produits,商品销售收入-退货,商品销售收入
verkoop van producten,商品销售收入,商品销售收入
verkoop van producten,商品销售收入-退货,商品销售收入
verkoopkosten,商品销售收入,佣金
verkoopkosten,商品销售收入-退货,佣金
Övrigt,商品销售收入-退货,其他
Övrigt,商品销售收入,其他
övriga transaktionsavgifter,商品销售收入-退货,其他交易费用
övriga transaktionsavgifter,商品销售收入,其他交易费用
środki na pokrycie pakowania na prezent,商品销售收入,包装收入
środki na pokrycie pakowania na prezent,商品销售收入-退货,包装收入
その他,商品销售收入-退货,其他
その他,商品销售收入,其他
ギフト包装クレジットの税金,商品销售收入-退货,包装税
ギフト包装クレジットの税金,商品销售收入,包装税
ギフト包装手数料,商品销售收入-退货,包装收入
ギフト包装手数料,商品销售收入,包装收入
トランザクションに関するその他の手数料,商品销售收入-退货,其他交易费用
トランザクションに関するその他の手数料,商品销售收入,其他交易费用
プロモーション割引の税金,商品销售收入-退货,折扣税
プロモーション割引の税金,商品销售收入,折扣税
プロモーション割引額,商品销售收入-退货,折扣金额
プロモーション割引額,商品销售收入,折扣金额
合計,优惠券点击费,佣金
合計,优惠活动报名费,其他交易费用
合計,秒杀活动服务费,佣金
合計,秒杀活动报名费,佣金
合計,FBA弃置费,其他
合計,FBA仓储费,其他
合計,FBA长期仓储费,其他
合計,FBA仓储费-取消,其他
合計,FBA仓储费-调整,其他
合計,FBA库存赔偿-客户退货,其他
合計,FBA库存赔偿-仓库遗失,其他
合計,FBA库存赔偿-出运丢失,其他
合計,客户货款追回,其他
合計,提现金额,其他
合計,广告费,其他交易费用
合計,店铺月租,其他
合計,优惠活动服务费,其他交易费用
商品の売上税,商品销售收入-退货,商品销售税
商品の売上税,商品销售收入,商品销售税
商品売上,商品销售收入-退货,商品销售收入
商品売上,商品销售收入,商品销售收入
商品销售税,订单追加费-商品税,商品销售税
商品销售税,退款追加费-商品税,商品销售税
平台代扣代缴税额,订单追加费-商品税,平台代扣代缴税额
平台代扣代缴税额,退款追加费-商品税,平台代扣代缴税额
手数料,商品销售收入-退货,佣金
手数料,商品销售收入,佣金
源泉徴収税を伴うマーケットプレイス,商品销售收入-退货,平台代扣代缴税额
源泉徴収税を伴うマーケットプレイス,商品销售收入,平台代扣代缴税额
运费税,订单追加费-商品税,运费税
运费税,退款追加费-商品税,运费税
配送料,商品销售收入-退货,运费销售收入
配送料,商品销售收入,运费销售收入
配送料の税金,商品销售收入-退货,运费税
配送料の税金,商品销售收入,运费税
